"","Var1","Var2","Freq","Var1.1","Var2.1","Freq.1","Var1.2","Var2.2","Freq.2"
"151","Total Benzofluoranthenes water  (ug/L)","FALSE",413,"Total Benzofluoranthenes water  (ug/L)","FALSE",413,"Total Benzofluoranthenes water  (ug/L)","FALSE",413
"152","Total Kjeldahl Nitrogen water  (ug/L)","FALSE",61,"Total Kjeldahl Nitrogen water  (ug/L)","FALSE",61,"Total Kjeldahl Nitrogen water  (ug/L)","FALSE",61
"153","Total Organic Carbon sediment  (%)","FALSE",0,"Total Organic Carbon sediment  (%)","FALSE",0,"Total Organic Carbon sediment  (%)","FALSE",0
"154","Total PAH sediment  (ug/Kg)","FALSE",1,"Total PAH sediment  (ug/Kg)","FALSE",1,"Total PAH sediment  (ug/Kg)","FALSE",1
"155","Total PAH water  (ug/L)","FALSE",179,"Total PAH water  (ug/L)","FALSE",179,"Total PAH water  (ug/L)","FALSE",179
"156","Total PCB sediment  (ug/Kg)","FALSE",16,"Total PCB sediment  (ug/Kg)","FALSE",16,"Total PCB sediment  (ug/Kg)","FALSE",16
"157","Total PCB water  (ug/L)","FALSE",27,"Total PCB water  (ug/L)","FALSE",16,"Total PCB water  (ug/L)","FALSE",12
"158","Total Phosphorus sediment  (ug/Kg)","FALSE",0,"Total Phosphorus sediment  (ug/Kg)","FALSE",0,"Total Phosphorus sediment  (ug/Kg)","FALSE",0
"159","Total Phosphorus water  (ug/L)","FALSE",20,"Total Phosphorus water  (ug/L)","FALSE",20,"Total Phosphorus water  (ug/L)","FALSE",20
"160","Total Phthalate sediment  (ug/Kg)","FALSE",8,"Total Phthalate sediment  (ug/Kg)","FALSE",8,"Total Phthalate sediment  (ug/Kg)","FALSE",8
"161","Total Phthalate water  (ug/L)","FALSE",150,"Total Phthalate water  (ug/L)","FALSE",150,"Total Phthalate water  (ug/L)","FALSE",150
"162","Total Suspended Solids water  (ug/L)","FALSE",4,"Total Suspended Solids water  (ug/L)","FALSE",4,"Total Suspended Solids water  (ug/L)","FALSE",4
"163","Total TPHDx sediment  (ug/Kg)","FALSE",0,"Total TPHDx sediment  (ug/Kg)","FALSE",0,"Total TPHDx sediment  (ug/Kg)","FALSE",0
"164","Total TPHDx water  (ug/L)","FALSE",159,"Total TPHDx water  (ug/L)","FALSE",159,"Total TPHDx water  (ug/L)","FALSE",159
